Jogador	Clube/equipa	Posição
Bubacar Djaló	Sporting CP (POR) / Portugal U19	Médio
Buta	Benfica (POR) / Portugal U19	Avançado
Cafú	Guimarães (POR)	Médio
Caio, André	Porto (POR)	Guarda-redes
Camará, Abel	Belenenses (POR)	Avançado
Camora	CFR Cluj (ROU)	Defesa
Campos, Ricardo	União (POR)	Guarda-redes
Cardinal	Portugal FUT	Defesa
Cardinal	Inter (ESP) / Portugal FUT	Avançado
Carlitos	Iraklis (GRE)	Defesa
Carlitos	Sion (SUI)	Avançado
Carlos Alves	Rio Ave (POR)	Guarda-redes
Carlos Chaby	União (POR)	Médio
Carlos Mané	Sporting CP (POR) / Portugal U21	Avançado
Carlos Martins	Belenenses (POR)	Médio
Carlos Santos	Boavista (POR)	Defesa
Carlota Cristo	Portugal WU19	Avançado
Carole Costa	Portugal WOCO	Defesa
Carolina Ferreira	Portugal WU19	Médio
Carolina Mendes	1° Dezembro (POR) / Portugal WOCO	Avançado
Carolina Rocha	Portugal WU17	Avançado
Carolina Rosa	Portugal WU17	Defesa
Carvalho, Ricardo	Monaco (FRA) / Portugal	Defesa
Catarina Amado	Portugal WU19	Avançado
Catarina Balão	Portugal WU17	Defesa
Catarina Carmo	Portugal WU17	Médio
Catarina Pereira	Portugal WU17	Avançado
Catarina Realista	Benfica (POR)	Médio
Catarina Sousa	Portugal WOCO	Defesa
Cédric	Southampton (ENG) / Portugal	Defesa
Cerqueira, Mauro	Nacional (POR)	Defesa
Cesar Ribeiro	Târgu Mureş (ROU)	Defesa
Claro	Setúbal (POR)	Avançado
Cláudia Machado	Portugal WU17	Médio
Cláudia Neto	Linköping (SWE) / Portugal WOCO	Médio
Cláudio Ramos	Tondela (POR)	Guarda-redes
Côco	Benfica (POR) / Portugal FUT	Avançado
Coentrão, Fábio	Monaco (FRA) / Portugal	Defesa
Costa, Vasco	Setúbal (POR)	Médio
Cristian	Sporting CP (POR)	Avançado
Cristiano	Sporting CP (POR) / Portugal FUT	Guarda-redes
Cristiano Marques	Benfica (POR)	Guarda-redes
Cristiano Rodrigues	Leiria (POR)	Avançado
Cristovão	Omonia (CYP)	Médio
Custódio	Akhisar (TUR)	Médio
Dálcio Gomes	Belenenses (POR)	Avançado
Dani	Setúbal (POR)	Médio
Dani	CFR Cluj (ROU)	Defesa
Daniel Azevedo	Benfica (POR)	Guarda-redes
Daniel Carriço	Sevilla (ESP) / Portugal	Médio
Daniel Esteves	Leiria (POR)	Avançado
Daniel Podence	Sporting CP (POR)	Médio
Danilo	Porto (POR) / Portugal	Médio
Danny	Zenit (RUS) / Portugal	Médio
Dany Marinho	Servette (SUI)	Defesa
Dário Marquês	Leiria (POR)	Avançado
David Sualehe	Porto (POR)	Defesa
Diana Gomes	Portugal WU19	Defesa
Diana Silva	Ouriense (POR) / Portugal WOCO	Avançado
